"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212402_487";1.2;1.3;35.0;"Pippip";0.02;"Pipkuh, Yposp, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetvir, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Rhasp, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pipnat, piaf, Phogri, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Mimasp, Micagr, Metbra, mamm, Leppun, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, Antsp, amph";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212402_487";"0.0";3.5;24.0;"noise";0.97;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212407_487";0.5;4.5;17.0;"noise";0.97;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212412_487";0.3;0.4;9.0;"noise";0.63;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212414_043";1.1;2.6;22.0;"noise";0.89;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212414_043";0.7;4.5;10.0;"Tetvir";0.91;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212419_043";"0.0";4.7;20.0;"noise";0.99;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212426_932";"0.0";5.0;33.0;"noise";0.93;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212431_932";"0.0";5.0;31.0;"noise";0.89;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212431_932";1.0;4.7;58.0;"Pippyg";0.98;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212436_932";"0.0";5.0;45.0;"noise";0.84;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212441_932";"0.0";5.0;39.0;"noise";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212446_932";"0.0";5.0;36.0;"noise";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212451_932";"0.0";5.0;28.0;"noise";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212456_932";"0.0";4.9;30.0;"noise";0.87;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212501_932";0.1;5.0;38.0;"noise";0.9;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212506_932";"0.0";5.0;42.0;"noise";0.9;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212511_932";"0.0";5.0;36.0;"noise";0.81;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212511_932";0.3;5.0;54.0;"Pippyg";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212516_932";"0.0";5.0;39.0;"noise";0.93;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212516_932";"0.0";1.7;53.0;"Pippip";0.97;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212521_932";"0.0";4.9;36.0;"noise";0.87;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212521_932";4.9;5.0;51.0;"Pippyg";0.91;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212521_932";"0.0";4.8;22.0;"Tetvir";0.92;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212526_932";"0.0";4.4;25.0;"noise";0.92;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212526_932";"0.0";4.0;53.0;"Pippyg";0.98;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212531_932";"0.0";5.0;27.0;"noise";0.87;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212531_932";1.1;4.7;58.0;"Pippyg";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212536_932";0.1;5.0;34.0;"noise";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212536_932";0.8;3.2;60.0;"Pippyg";0.97;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212536_932";0.3;5.0;21.0;"Tetvir";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212541_932";"0.0";4.6;34.0;"noise";0.81;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212541_932";"0.0";3.7;19.0;"Tetvir";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212546_901";"0.0";5.0;30.0;"noise";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212551_901";"0.0";5.0;27.0;"noise";0.93;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212556_901";0.1;5.0;32.0;"noise";0.92;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212556_901";0.3;4.5;10.0;"Tetvir";0.91;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212601_901";0.2;3.0;29.0;"noise";0.83;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212605_220";"0.0";4.9;30.0;"noise";0.86;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212610_220";0.3;3.4;28.0;"noise";0.87;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212618_151";1.8;2.8;39.0;"noise";0.89;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212618_151";2.4;3.0;15.0;"Tetvir";0.57;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212622_361";"0.0";5.0;32.0;"noise";0.85;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212627_361";0.2;4.1;25.0;"noise";0.92;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212627_361";1.1;5.0;61.0;"Pippip";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212627_361";1.0;2.6;13.0;"Tetvir";0.82;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212632_361";0.1;2.8;22.0;"noise";0.84;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212632_361";"0.0";1.7;52.0;"Pippip";0.98;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212635_923";0.8;5.0;14.0;"noise";0.69;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212635_923";2.5;2.6;18.0;"Plaint";0.05;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212640_923";0.1;5.0;32.0;"noise";0.9;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212640_923";0.3;5.0;16.0;"Tetvir";0.86;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212645_923";"0.0";5.0;36.0;"noise";0.93;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212650_923";"0.0";5.0;31.0;"noise";0.89;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212650_923";0.4;4.9;53.0;"Pippip";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212655_923";0.2;5.0;34.0;"noise";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212700_923";"0.0";4.9;30.0;"noise";0.78;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212700_923";1.1;4.3;11.0;"Eupsp";0.16;"Phogri";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212707_319";0.1;4.9;32.0;"noise";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212712_319";"0.0";4.9;30.0;"noise";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212717_319";"0.0";5.0;21.0;"noise";0.81;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212722_319";0.6;5.0;30.0;"noise";0.91;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212722_319";"0.0";5.0;19.0;"Tetvir";0.88;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212727_319";"0.0";5.0;26.0;"noise";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212732_319";0.5;2.8;15.0;"noise";0.78;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212736_753";"0.0";4.8;29.0;"noise";0.97;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212741_753";0.1;5.0;35.0;"noise";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212746_753";0.1;5.0;31.0;"noise";0.9;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212751_753";"0.0";4.1;36.0;"noise";0.78;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212751_753";3.0;3.1;22.0;"Tetvir";0.02;"Phanan, Yposp, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Rhasp, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pippip, Pipnat, Pipkuh, piaf, Phogri, Phofem, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Mimasp, Micagr, Metbra, mamm, Leppun, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, Antsp, amph";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212758_444";0.2;2.7;11.0;"noise";0.93;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212758_444";2.5;3.3;10.0;"Phofem";0.09;"Tetvir";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212758_444";2.8;3.3;59.0;"Pippyg";0.96;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212802_821";0.7;1.9;22.0;"noise";0.9;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212802_821";"0.0";0.8;56.0;"Pippyg";0.3;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212802_821";0.6;2.7;11.0;"Tetvir";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212808_655";1.1;5.0;27.0;"noise";0.67;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212808_655";3.6;4.9;51.0;"Pippyg";0.29;"Pippip";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212808_655";1.9;5.0;19.0;"Tetvir";0.95;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212813_655";"0.0";4.7;31.0;"noise";0.88;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212813_655";"0.0";4.5;63.0;"Pippip";0.92;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212825_649";"0.0";5.0;37.0;"noise";0.86;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212825_649";"0.0";4.1;60.0;"Pippyg";0.81;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212830_649";"0.0";5.0;44.0;"noise";0.93;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212830_649";2.0;3.8;11.0;"Tetvir";0.51;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212835_649";"0.0";4.9;37.0;"noise";0.94;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212840_649";"0.0";4.5;33.0;"noise";0.89;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212845_649";0.1;0.5;38.0;"noise";0.88;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212849_321";0.6;3.1;23.0;"noise";0.91;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212849_321";0.5;3.1;10.0;"Tetvir";0.7;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212856_568";"0.0";5.0;46.0;"noise";0.9;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212856_568";0.8;1.3;55.0;"Pippip";0.91;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212901_568";"0.0";4.4;36.0;"noise";0.83;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212901_568";2.4;4.3;10.0;"Phogri";0.11;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212908_999";"0.0";5.0;49.0;"noise";0.88;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212913_999";"0.0";3.7;36.0;"noise";0.92;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212918_003";"0.0";5.0;30.0;"noise";0.82;"";"";"";"";""
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_212918_003";"0.0";5.0;64.0;"Pippip";0.74;"";"";"";"";""
