"Group.1","beetle","bird","bush.cricket","buzz","CF.FMd","CF.FMd.CF","cicada","FMd","FMd.QCF","FMu.CF.FMd","FMu.QCF","FMu.QCF.FMd","frog","grasshopper","ground.cricket","insect","moth","noise","other.mammal","QCF.FMd","MainMode","FreqM","FreqP","FreqC","Tstart","Tend","NbCris","DurMed","Dur90","Ampm50","Ampm90","AmpSMd","DiffME","SR","Ramp90","Order","Ind","SpMaxF2","Version","Filename","Commentaire","IdMan","temps_debut","temps_debut.1","espece","Group","probabilite","frequence","diff"
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_232404_301",0.048,0.002,0.026,0.402,0.006,0,0,0.254,0.108,0.028,0,0,0.008,0,0,0.008,0.01,0.1,0,0,39.8,38,39.8,41.2,2.5,2.6,1,0,0,58.8,58.8,25,56.3,384000,-0.7,"N5",0.402,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_232404_301.wav",NA,NA,1.6,4.4,"noise","noise",0.93,33,5
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_232634_603",0.046,0.018,0.078,0.45,0.014,0.004,0.008,0.254,0.066,0.068,0.01,0.008,0.012,0.008,0.002,0.038,0.024,0.33,0.012,0.018,33.8,38,33.8,39.4,0.2,3.6,3,2,2,41.2,82,19,40.5,384000,-0.7,"N6",0.45,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_232634_603.wav",NA,NA,0,4.7,"noise","noise",0.89,31,7
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_233754_488",0.14,0.014,0.052,0.278,0.008,0,0.002,0.092,0.054,0.014,0.002,0,0.004,0,0,0.038,0.03,0.262,0.01,0,61.5,61,61.5,61.5,2.6,2.7,1,0,0,69.7,69.7,26,60,384000,-1,"N6",0.278,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_233754_488.wav",NA,NA,0,5,"noise","noise",0.89,31,30
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_235947_056",0.07,0.016,0.104,0.266,0,0,0.002,0.096,0.04,0.022,0,0,0.012,0,0,0.084,0.046,0.228,0.012,0.002,66.8,69,66.8,0,0,0.1,1,1,1,38.8,38.8,18,37.7,384000,3.6,"N2",0.266,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_235947_056.wav",NA,NA,0,0.1,"noise","noise",0.45,36,33
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_000839_579",0.08,0.008,0.074,0.312,0.004,0.002,0.006,0.176,0.068,0.034,0.002,0.002,0.006,0.004,0.002,0.036,0.02,0.154,0.004,0.006,39,39,39,42,4,4.1,1,0,0,44.8,44.8,17,28.2,384000,-1.3,"N5",0.312,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_000839_579.wav",NA,NA,0,4.6,"noise","noise",0.9,32,7
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_002249_017",0.05,0.026,0.058,0.338,0.018,0.006,0.008,0.316,0.068,0.04,0.012,0.008,0.038,0.002,0.002,0.038,0.04,0.316,0.026,0.016,21.8,22,20.6,20.2,2,4.2,1,1,2,18.8,19.6,7,15,384000,-0.2,"N3",0.338,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_002249_017.wav",NA,NA,2,4.2,"noise","noise",0.72,22,0
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_005759_312",0.01,0,0.008,0.942,0.002,0,0.002,0.088,0.034,0.018,0,0,0.002,0,0,0.014,0.008,0.014,0,0.002,55.1,54,54.8,52.5,0,0.1,5,1,1,82.9,97.9,32,66.3,384000,-1,"N2",0.942,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_005759_312.wav",NA,NA,0,5,"pippyg","bat",0.94,67,13
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_005759_312",0.06,0.018,0.146,0.884,0.008,0.004,0.018,0.094,0.044,0.022,0.002,0.016,0.012,0.002,0.002,0.072,0.056,0.412,0.018,0.018,34.3,35,33.8,35.2,0.1,4.3,15,1,2,71.3,105.3,28,58.1,384000,-0.9,"N3",0.884,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_005759_312.wav",NA,NA,0,5,"pippyg","bat",0.94,67,32
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_005759_312",0.016,0.006,0.036,0.472,0.004,0,0.006,0.164,0.064,0.066,0,0,0.002,0.002,0,0.006,0.018,0.132,0.002,0.004,49.5,51,49.5,0,2.2,2.3,1,4,4,48.4,48.4,24,48.3,384000,-1.9,"N7",0.472,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_005759_312.wav",NA,NA,0,5,"pippyg","bat",0.94,67,16
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_005759_312",0.05,0.002,0.014,0.406,0.01,0,0,0.39,0.1,0.036,0,0,0.006,0,0.002,0.012,0.008,0.096,0,0.004,44.3,40,42.8,42,0.1,4.2,1,0,1,90,90.6,34,77.2,384000,-1,"N8",0.406,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_005759_312.wav",NA,NA,0,5,"pippyg","bat",0.94,67,27
