"NumeroSequence","Espece","TempsDebutSequence","TempsFinSequence","DureeSequence","Nuit"
138,"pippip",2020-06-10 20:00:59.967,2020-06-10 20:01:00.667,0.700000047683716,"2020-06-10"
139,"pippip",2020-06-10 20:01:09.979,2020-06-10 20:01:14.979,5,"2020-06-10"
140,"pippip",2020-06-10 20:01:47.376,2020-06-10 20:01:48.376,1,"2020-06-10"
141,"pippip",2020-06-10 20:01:57.548,2020-06-10 20:02:01.148,3.59999990463257,"2020-06-10"
142,"pippip",2020-06-10 20:02:09.328,2020-06-10 20:02:14.028,4.70000004768372,"2020-06-10"
143,"pippip",2020-06-10 20:13:47.921,2020-06-10 20:13:53.173,5.25200009346008,"2020-06-10"
144,"pippip",2020-06-10 20:16:00.717,2020-06-10 20:16:08.117,7.40000009536743,"2020-06-10"
145,"pippip",2020-06-10 20:16:52.879,2020-06-10 20:16:52.979,0.0999999046325684,"2020-06-10"
146,"pippip",2020-06-10 20:20:14.393,2020-06-10 20:20:26.435,12.0419998168945,"2020-06-10"
147,"pippip",2020-06-10 20:31:25.195,2020-06-10 20:31:28.995,3.79999995231628,"2020-06-10"
148,"pippip",2020-06-10 20:31:33.104,2020-06-10 20:31:34.204,1.09999990463257,"2020-06-10"
149,"pippip",2020-06-10 20:40:17.115,2020-06-10 20:40:17.215,0.0999999046325684,"2020-06-10"
150,"pippip",2020-06-10 21:06:47.425,2020-06-10 21:06:54.429,7.00399994850159,"2020-06-10"
151,"pippip",2020-06-10 21:24:04.401,2020-06-10 21:24:11.201,6.80000019073486,"2020-06-10"
152,"pippip",2020-06-10 21:24:58.018,2020-06-10 21:25:15.349,17.3310000896454,"2020-06-10"
153,"pippip",2020-06-10 21:25:18.646,2020-06-10 21:25:40.154,21.5080001354218,"2020-06-10"
154,"pippip",2020-06-10 21:25:42.605,2020-06-10 21:25:49.805,7.20000004768372,"2020-06-10"
155,"pippip",2020-06-10 21:29:08.643,2020-06-10 21:29:08.743,0.0999999046325684,"2020-06-10"
156,"pippip",2020-06-10 21:48:59.369,2020-06-10 21:48:59.469,0.0999999046325684,"2020-06-10"
157,"pippip",2020-06-10 22:02:02.283,2020-06-10 22:02:02.383,0.0999999046325684,"2020-06-10"
158,"pippip",2020-06-10 23:05:30.708,2020-06-10 23:05:34.908,4.20000004768372,"2020-06-10"
159,"pippip",2020-06-10 23:39:11.22,2020-06-10 23:39:15.02,3.79999995231628,"2020-06-10"
160,"pippip",2020-06-11 00:03:21.216,2020-06-11 00:03:21.316,0.0999999046325684,"2020-06-10"
161,"pippip",2020-06-11 00:12:21.471,2020-06-11 00:12:21.971,0.5,"2020-06-10"
162,"pippip",2020-06-11 00:12:24,2020-06-11 00:12:27.9,3.90000009536743,"2020-06-10"
163,"pippip",2020-06-11 00:22:21.167,2020-06-11 00:22:24.867,3.70000004768372,"2020-06-10"
164,"pippip",2020-06-11 00:24:55.242,2020-06-11 00:24:58.442,3.20000004768372,"2020-06-10"
165,"pippip",2020-06-11 01:59:24.481,2020-06-11 01:59:24.581,0.0999999046325684,"2020-06-10"
166,"pippip",2020-06-11 02:06:48.487,2020-06-11 02:06:56.687,8.20000004768372,"2020-06-10"
167,"pippip",2020-06-11 03:06:06.441,2020-06-11 03:06:11.741,5.29999995231628,"2020-06-10"
168,"pippip",2020-06-11 03:30:06.727,2020-06-11 03:30:08.827,2.10000014305115,"2020-06-10"
169,"pippip",2020-06-11 03:30:48.782,2020-06-11 03:30:51.582,2.79999995231628,"2020-06-10"
170,"pippip",2020-06-11 03:34:38.156,2020-06-11 03:34:41.256,3.09999990463257,"2020-06-10"
171,"pippip",2020-06-11 03:36:56.492,2020-06-11 03:37:01.892,5.40000009536743,"2020-06-10"
172,"pippip",2020-06-11 03:38:32.569,2020-06-11 03:38:35.469,2.90000009536743,"2020-06-10"
173,"pippip",2020-06-11 03:38:59.283,2020-06-11 03:39:11.383,12.0999999046326,"2020-06-10"
174,"pippip",2020-06-11 03:39:43.379,2020-06-11 03:39:45.079,1.70000004768372,"2020-06-10"
175,"pippip",2020-06-11 03:39:49.045,2020-06-11 03:39:52.145,3.09999990463257,"2020-06-10"
176,"pippip",2020-06-11 03:39:56.617,2020-06-11 03:40:01.517,4.90000009536743,"2020-06-10"
177,"pippip",2020-06-11 03:43:25.726,2020-06-11 03:43:27.926,2.20000004768372,"2020-06-10"
178,"pippip",2020-06-11 03:44:11.945,2020-06-11 03:44:19.713,7.76800012588501,"2020-06-10"
179,"pippip",2020-06-11 03:45:33.104,2020-06-11 03:45:40.404,7.30000019073486,"2020-06-10"
180,"pippip",2020-06-11 04:13:08.995,2020-06-11 04:13:09.095,0.0999999046325684,"2020-06-10"
181,"pippyg",2020-06-10 19:23:46.404,2020-06-10 19:23:50.404,4,"2020-06-10"
182,"pippyg",2020-06-10 19:24:32.932,2020-06-10 19:24:36.632,3.70000004768372,"2020-06-10"
183,"pippyg",2020-06-10 19:25:12.232,2020-06-10 19:25:16.932,4.70000004768372,"2020-06-10"
184,"pippyg",2020-06-10 19:25:26.832,2020-06-10 19:25:30.932,4.09999990463257,"2020-06-10"
185,"pippyg",2020-06-10 19:25:33.032,2020-06-10 19:25:40.132,7.10000014305115,"2020-06-10"
186,"pippyg",2020-06-10 19:28:01.244,2020-06-10 19:28:03.621,2.37700009346008,"2020-06-10"
187,"pippyg",2020-06-10 19:28:12.255,2020-06-10 19:28:13.555,1.30000019073486,"2020-06-10"
188,"pippyg",2020-06-10 19:28:25.649,2020-06-10 19:28:29.749,4.09999990463257,"2020-06-10"
189,"pippyg",2020-06-10 19:30:39.658,2020-06-10 19:30:44.658,5,"2020-06-10"
190,"pippyg",2020-06-10 19:31:26.982,2020-06-10 19:31:30.882,3.90000009536743,"2020-06-10"
191,"pippyg",2020-06-10 19:33:03.623,2020-06-10 19:33:04.523,0.900000095367432,"2020-06-10"
192,"pippyg",2020-06-10 19:34:33.379,2020-06-10 19:34:40.879,7.5,"2020-06-10"
193,"pippyg",2020-06-10 19:36:44.281,2020-06-10 19:36:49.181,4.90000009536743,"2020-06-10"
194,"pippyg",2020-06-10 19:37:07.819,2020-06-10 19:37:12.619,4.79999995231628,"2020-06-10"
195,"pippyg",2020-06-10 19:37:50.161,2020-06-10 19:37:54.161,4,"2020-06-10"
196,"pippyg",2020-06-10 19:38:24.861,2020-06-10 19:38:31.161,6.29999995231628,"2020-06-10"
197,"pippyg",2020-06-10 19:39:27.005,2020-06-10 19:39:31.805,4.79999995231628,"2020-06-10"
198,"pippyg",2020-06-10 19:44:20.769,2020-06-10 19:44:25.269,4.5,"2020-06-10"
199,"pippyg",2020-06-10 19:47:09.469,2020-06-10 19:47:14.469,5,"2020-06-10"
200,"pippyg",2020-06-10 19:50:56.169,2020-06-10 19:51:01.069,4.90000009536743,"2020-06-10"
201,"pippyg",2020-06-10 19:55:22.427,2020-06-10 19:55:26.427,4,"2020-06-10"
202,"pippyg",2020-06-10 19:58:23.309,2020-06-10 19:58:29.309,6,"2020-06-10"
203,"pippyg",2020-06-10 19:59:41.196,2020-06-10 19:59:47.696,6.5,"2020-06-10"
204,"pippyg",2020-06-10 19:59:52.978,2020-06-10 19:59:56.878,3.90000009536743,"2020-06-10"
205,"pippyg",2020-06-10 20:10:25.77,2020-06-10 20:10:26.97,1.20000004768372,"2020-06-10"
206,"pippyg",2020-06-10 20:13:33.821,2020-06-10 20:13:41.021,7.19999980926514,"2020-06-10"
207,"pippyg",2020-06-10 20:13:45.221,2020-06-10 20:13:48.121,2.90000009536743,"2020-06-10"
208,"pippyg",2020-06-10 20:17:58.257,2020-06-10 20:18:05.457,7.19999980926514,"2020-06-10"
209,"pippyg",2020-06-10 20:19:10.607,2020-06-10 20:19:21.315,10.7079999446869,"2020-06-10"
210,"pippyg",2020-06-10 20:20:31.735,2020-06-10 20:20:37.081,5.3459997177124,"2020-06-10"
211,"pippyg",2020-06-10 20:23:06.075,2020-06-10 20:23:14.675,8.59999990463257,"2020-06-10"
212,"pippyg",2020-06-10 20:26:38.469,2020-06-10 20:26:38.569,0.100000143051147,"2020-06-10"
213,"pippyg",2020-06-10 20:27:29.723,2020-06-10 20:27:36.523,6.79999995231628,"2020-06-10"
214,"pippyg",2020-06-10 20:27:57.525,2020-06-10 20:28:01.448,3.92300009727478,"2020-06-10"
215,"pippyg",2020-06-10 20:34:56.525,2020-06-10 20:35:04.025,7.5,"2020-06-10"
216,"pippyg",2020-06-10 20:38:03.817,2020-06-10 20:38:08.281,4.46399998664856,"2020-06-10"
217,"pippyg",2020-06-10 20:39:51.443,2020-06-10 20:39:52.943,1.5,"2020-06-10"
218,"pippyg",2020-06-10 20:39:55.935,2020-06-10 20:40:01.735,5.79999995231628,"2020-06-10"
219,"pippyg",2020-06-10 21:03:47.175,2020-06-10 21:03:49.775,2.59999990463257,"2020-06-10"
220,"pippyg",2020-06-10 21:44:17.495,2020-06-10 21:44:17.595,0.0999999046325684,"2020-06-10"
221,"pippyg",2020-06-10 21:44:22.023,2020-06-10 21:44:27.223,5.20000004768372,"2020-06-10"
222,"pippyg",2020-06-10 21:47:48.12,2020-06-10 21:47:53.72,5.59999990463257,"2020-06-10"
223,"pippyg",2020-06-10 21:52:57.604,2020-06-10 21:52:59.804,2.20000004768372,"2020-06-10"
224,"pippyg",2020-06-10 21:59:11.541,2020-06-10 21:59:14.141,2.60000014305115,"2020-06-10"
225,"pippyg",2020-06-10 22:03:04.741,2020-06-10 22:03:09.741,5,"2020-06-10"
226,"pippyg",2020-06-10 22:03:15.946,2020-06-10 22:03:18.746,2.79999995231628,"2020-06-10"
227,"pippyg",2020-06-10 22:05:05.687,2020-06-10 22:05:08.187,2.5,"2020-06-10"
228,"pippyg",2020-06-10 22:09:32.845,2020-06-10 22:09:33.945,1.10000014305115,"2020-06-10"
229,"pippyg",2020-06-10 22:09:43.225,2020-06-10 22:09:47.525,4.29999995231628,"2020-06-10"
230,"pippyg",2020-06-10 22:09:50.187,2020-06-10 22:09:53.887,3.70000004768372,"2020-06-10"
231,"pippyg",2020-06-10 22:10:01.356,2020-06-10 22:10:09.756,8.40000009536743,"2020-06-10"
232,"pippyg",2020-06-10 22:11:14.385,2020-06-10 22:11:17.085,2.70000004768372,"2020-06-10"
233,"pippyg",2020-06-10 22:17:10.991,2020-06-10 22:17:11.091,0.0999999046325684,"2020-06-10"
234,"pippyg",2020-06-10 22:17:48.081,2020-06-10 22:17:48.581,0.5,"2020-06-10"
235,"pippyg",2020-06-10 22:18:05.677,2020-06-10 22:18:11.577,5.89999985694885,"2020-06-10"
236,"pippyg",2020-06-10 22:21:47.398,2020-06-10 22:21:48.098,0.700000047683716,"2020-06-10"
237,"pippyg",2020-06-10 22:21:50.987,2020-06-10 22:21:53.287,2.29999995231628,"2020-06-10"
238,"pippyg",2020-06-10 22:26:29.891,2020-06-10 22:26:33.691,3.79999995231628,"2020-06-10"
239,"pippyg",2020-06-10 22:30:59.663,2020-06-10 22:31:03.463,3.79999995231628,"2020-06-10"
240,"pippyg",2020-06-10 22:40:37.49,2020-06-10 22:40:40.09,2.59999990463257,"2020-06-10"
241,"pippyg",2020-06-10 22:42:53.031,2020-06-10 22:42:59.663,6.63199996948242,"2020-06-10"
242,"pippyg",2020-06-10 22:57:54.312,2020-06-10 22:58:11.612,17.2999999523163,"2020-06-10"
243,"pippyg",2020-06-10 22:58:17.801,2020-06-10 22:58:25.701,7.90000009536743,"2020-06-10"
244,"pippyg",2020-06-10 23:00:54.665,2020-06-10 23:00:58.465,3.79999995231628,"2020-06-10"
245,"pippyg",2020-06-10 23:41:25.66,2020-06-10 23:41:31.667,6.00699996948242,"2020-06-10"
246,"pippyg",2020-06-11 00:00:49.069,2020-06-11 00:00:49.169,0.0999999046325684,"2020-06-10"
247,"pippyg",2020-06-11 00:07:06.821,2020-06-11 00:07:11.021,4.20000004768372,"2020-06-10"
248,"pippyg",2020-06-11 00:08:02.095,2020-06-11 00:08:10.432,8.33699989318848,"2020-06-10"
249,"pippyg",2020-06-11 00:17:37.539,2020-06-11 00:17:41.639,4.09999990463257,"2020-06-10"
250,"pippyg",2020-06-11 00:44:00.546,2020-06-11 00:44:04.946,4.40000009536743,"2020-06-10"
251,"pippyg",2020-06-11 01:05:23.955,2020-06-11 01:05:34.855,10.9000000953674,"2020-06-10"
252,"pippyg",2020-06-11 01:10:07.879,2020-06-11 01:10:16.379,8.5,"2020-06-10"
253,"pippyg",2020-06-11 01:41:39.122,2020-06-11 01:41:39.222,0.0999999046325684,"2020-06-10"
254,"pippyg",2020-06-11 01:45:43.135,2020-06-11 01:46:35.535,52.4000000953674,"2020-06-10"
255,"pippyg",2020-06-11 01:46:55.922,2020-06-11 01:47:00.822,4.90000009536743,"2020-06-10"
256,"pippyg",2020-06-11 01:47:04.302,2020-06-11 01:47:11.002,6.70000004768372,"2020-06-10"
